Data_si_ora,Distanta_cm,Mesaj
1/12/2025 18:44,44.83,OK
1/12/2025 18:44,43.06,OK
1/12/2025 18:44,45.26,OK
1/12/2025 18:44,3.07,COLIZIUNE
1/12/2025 18:44,14.51,ALERT
1/12/2025 18:44,14.92,ALERT
1/12/2025 18:45,2.64,COLIZIUNE
1/12/2025 18:45,8.54,COLIZIUNE
1/12/2025 18:45,21.75,ALERT
1/12/2025 18:45,2.88,COLIZIUNE
1/12/2025 18:45,11.61,ALERT
1/12/2025 18:45,43.05,OK
1/12/2025 18:45,16.26,ALERT
1/12/2025 18:45,26.79,ALERT
1/12/2025 18:45,6.81,COLIZIUNE
1/12/2025 18:45,52.94,OK
1/12/2025 18:46,5.28,COLIZIUNE
1/12/2025 18:46,20.67,ALERT
1/12/2025 18:46,6.38,COLIZIUNE
1/12/2025 18:46,3.55,COLIZIUNE
1/12/2025 18:46,1204.79,OK
1/12/2025 18:46,3.74,COLIZIUNE
1/12/2025 18:46,1204.84,OK
1/12/2025 18:46,4.61,COLIZIUNE
1/12/2025 18:46,17.37,ALERT
1/12/2025 18:46,10.79,ALERT
1/12/2025 18:46,22.62,ALERT
1/12/2025 18:46,50.28,OK
1/12/2025 18:47,17.34,ALERT
1/12/2025 18:47,18.45,ALERT
1/12/2025 18:47,8.37,COLIZIUNE
1/12/2025 18:47,40.87,OK
1/12/2025 18:47,60.18,OK
1/12/2025 18:47,7.91,COLIZIUNE
1/12/2025 18:47,59.97,OK
1/12/2025 18:47,10.75,ALERT
1/12/2025 18:47,3.28,COLIZIUNE
1/12/2025 18:47,11.42,ALERT
1/12/2025 18:47,14.06,ALERT
1/12/2025 18:48,4.37,COLIZIUNE
1/12/2025 18:48,43.06,OK
1/12/2025 18:48,6.57,COLIZIUNE
1/12/2025 18:48,43.72,OK
1/12/2025 18:48,12.52,ALERT
1/12/2025 18:48,9.45,COLIZIUNE
1/12/2025 18:48,9.02,COLIZIUNE
1/12/2025 18:48,11.42,ALERT
1/12/2025 18:48,9.67,COLIZIUNE
1/12/2025 18:48,25.48,ALERT
1/12/2025 18:48,17.13,ALERT
1/12/2025 18:49,21.09,ALERT
1/12/2025 18:49,11.66,ALERT
1/12/2025 18:49,1204.89,OK
1/12/2025 18:49,43.72,OK
1/12/2025 18:49,10.55,ALERT
1/12/2025 18:49,2.66,COLIZIUNE
1/12/2025 18:49,19.33,ALERT
1/12/2025 18:49,64.14,OK
1/12/2025 18:49,43.49,OK
1/12/2025 18:49,5.06,COLIZIUNE
1/12/2025 18:49,6.14,COLIZIUNE
1/12/2025 18:49,17.36,ALERT
1/12/2025 18:50,16.05,ALERT
1/12/2025 18:50,59.97,OK
1/12/2025 18:50,5.49,COLIZIUNE
1/12/2025 18:50,59.73,OK
1/12/2025 18:50,10.32,ALERT
1/12/2025 18:50,3.76,COLIZIUNE
1/12/2025 18:50,59.99,OK
1/12/2025 18:50,59.97,OK
1/12/2025 18:50,1204.82,OK
